,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,saint george,37.1,-113.58,46.99400000000007,15,1,3.6,US,1603817967
1,dikson,73.51,80.55,10.418000000000085,96,100,7.79,RU,1603818042
2,torbay,47.67,-52.73,41.0,100,90,4.1,CA,1603818179
3,castro,-24.79,-50.01,77.95400000000005,41,21,4.25,BR,1603818180
4,santa isabel do rio negro,-0.41,-65.02,93.81200000000005,48,93,0.65,BR,1603818182
5,ayagoz,47.97,80.44,48.83000000000004,48,36,8.52,KZ,1603818182
6,olga,43.74,135.29,41.45,83,34,1.46,RU,1603818182
7,bodden town,19.28,-81.25,87.8,70,20,7.7,KY,1603818182
8,rikitea,-23.12,-134.97,75.11000000000008,85,73,7.39,PF,1603818182
9,cabo san lucas,22.89,-109.91,82.00400000000005,69,5,2.11,MX,1603817960
10,kapaa,22.08,-159.32,71.6,83,40,3.6,US,1603818182
11,hobart,-42.88,147.33,48.2,93,75,2.1,AU,1603818168
12,turbat,26.0,63.04,66.56000000000009,50,0,0.61,PK,1603818182
13,cape town,-33.93,18.42,66.2,72,20,4.6,ZA,1603818143
14,bardiyah,31.76,25.09,71.83399999999999,64,25,2.82,LY,1603818182
15,namibe,-15.2,12.15,71.07800000000006,78,21,3.84,AO,1603818377
16,albany,42.6,-73.97,51.008,65,56,2.76,US,1603818277
17,araouane,18.9,-3.53,96.06200000000005,10,22,4.56,ML,1603818377
18,hermanus,-34.42,19.23,64.00400000000005,85,99,1.79,ZA,1603818328
19,bredasdorp,-34.53,20.04,69.8,60,91,9.3,ZA,1603818349
20,naberera,-4.2,36.93,69.13399999999999,60,40,4.08,TZ,1603818377
21,champaign,40.13,-88.2,42.008,93,90,2.6,US,1603818377
22,moose factory,51.26,-80.61,30.2,54,75,5.1,CA,1603818377
23,mataura,-46.19,168.86,39.00200000000008,92,16,0.45,NZ,1603818328
24,sovetskiy,61.36,63.58,19.49000000000002,95,37,1.2,RU,1603818377
25,carnarvon,-24.87,113.63,69.8,83,40,10.3,AU,1603818316
26,east london,-33.02,27.91,71.6,88,20,6.2,ZA,1603818370
27,mamaku,-38.1,176.08,59.0,90,100,1.34,NZ,1603818377
28,bambous virieux,-20.34,57.76,75.2,73,75,2.6,MU,1603818378
29,tiksi,71.69,128.87,1.544000000000075,92,90,3.63,RU,1603818337
30,akureyri,65.68,-18.09,37.4,64,90,3.6,IS,1603818378
31,gisborne,-38.65,178.0,53.00600000000003,85,100,0.89,NZ,1603818248
32,luderitz,-26.65,15.16,60.81800000000008,69,57,6.32,NA,1603818378
33,te anau,-45.42,167.72,39.524000000000015,90,31,0.46,NZ,1603818378
34,lae,-6.72,146.98,75.99199999999999,82,99,2.61,PG,1603818379
35,bluff,-46.6,168.33,39.00200000000008,92,4,0.45,NZ,1603818259
36,puerto ayora,-0.74,-90.35,73.4,78,75,5.1,EC,1603818277
37,hilo,19.73,-155.09,73.4,88,75,2.52,US,1603818148
38,bethel,41.37,-73.41,55.99400000000007,62,40,2.6,US,1603818112
39,nome,64.5,-165.41,30.2,80,90,2.18,US,1603818380
40,port alfred,-33.59,26.89,71.36600000000001,87,70,5.06,ZA,1603818279
